Day.1.Run,Day.1.RunName,Day.1.WIND_DIRECTION,Day.1.RELEASE_ALT,Day.1.RELEASE_MASS,Day.1.MASS_MEAN_DIAMETER,Day.1.Fatalities,Day.2.Run,Day.2.RunName,Day.2.WIND_DIRECTION,Day.2.RELEASE_ALT,Day.2.RELEASE_MASS,Day.2.MASS_MEAN_DIAMETER,Day.2.Fatalities,Day.3.Run,Day.3.RunName,Day.3.WIND_DIRECTION,Day.3.RELEASE_ALT,Day.3.RELEASE_MASS,Day.3.MASS_MEAN_DIAMETER,Day.3.Fatalities
2059,Run_2059,200,160,1200,1.00E-05,30,1709,Run_1709,180,160,1400,8.00E-05,42,3529,Run_3529,280,180,1000,1.00E-05,6
2797,Run_2797,240,160,1800,1.00E-05,28,1529,Run_1529,180,40,1400,8.00E-05,42,3172,Run_3172,260,180,1000,6.00E-05,6
3013,Run_3013,260,80,1800,1.00E-05,25,1721,Run_1721,180,160,1800,8.00E-05,48,2811,Run_2811,240,180,1000,4.00E-05,8
2298,Run_2298,220,80,1800,1.00E-04,29,428,Run_428,120,20,2000,2.00E-05,42,2453,Run_2453,220,180,1000,8.00E-05,8
2765,Run_2765,240,140,1800,8.00E-05,25,1536,Run_1536,180,40,1600,1.00E-04,47,2489,Run_2489,220,200,1000,8.00E-05,6
2406,Run_2406,220,140,1800,1.00E-04,28,1929,Run_1929,200,80,1600,4.00E-05,42,2856,Run_2856,240,200,1200,1.00E-04,6
26,Run_26,100,0,1800,2.00E-05,24,85,Run_85,100,40,1400,1.00E-05,45,3099,Run_3099,260,140,1000,4.00E-05,10
2205,Run_2205,220,20,1200,4.00E-05,22,807,Run_807,140,40,1400,4.00E-05,44,3460,Run_3460,280,140,1000,6.00E-05,10
3718,Run_3718,300,80,1200,6.00E-05,28,1638,Run_1638,180,120,1400,1.00E-04,43,2775,Run_2775,240,160,1000,4.00E-05,9
1826,Run_1826,200,0,1800,2.00E-05,24,2000,Run_2000,200,120,1600,2.00E-05,42,3495,Run_3495,280,160,1000,4.00E-05,8
2448,Run_2448,220,160,2000,1.00E-04,30,1272,Run_1272,160,120,1200,1.00E-04,43,3930,Run_3930,300,200,1000,1.00E-04,8
2147,Run_2147,200,200,1600,8.00E-05,30,3091,Run_3091,260,120,2000,1.00E-05,46,3220,Run_3220,260,200,1400,6.00E-05,10
2333,Run_2333,220,100,1800,8.00E-05,29,1565,Run_1565,180,80,1400,8.00E-05,44,3098,Run_3098,260,140,1000,2.00E-05,10
17,Run_17,100,0,1400,8.00E-05,22,3130,Run_3130,260,140,2000,6.00E-05,48,3389,Run_3389,280,100,1000,8.00E-05,9
2471,Run_2471,220,180,1600,8.00E-05,23,1678,Run_1678,180,140,1600,6.00E-05,50,2776,Run_2776,240,160,1000,6.00E-05,8
2204,Run_2204,220,20,1200,2.00E-05,22,1313,Run_1313,160,140,1400,8.00E-05,50,3532,Run_3532,280,180,1000,6.00E-05,6
2984,Run_2984,260,40,2000,2.00E-05,28,3094,Run_3094,260,120,2000,6.00E-05,47,2993,Run_2993,260,80,1000,8.00E-05,10
1920,Run_1920,200,80,1200,1.00E-04,28,1790,Run_1790,180,200,1800,2.00E-05,45,3102,Run_3102,260,140,1000,1.00E-04,8
2725,Run_2725,240,120,1800,1.00E-05,28,1556,Run_1556,180,80,1200,2.00E-05,42,3177,Run_3177,260,180,1200,4.00E-05,10
3684,Run_3684,300,40,1200,1.00E-04,23,3698,Run_3698,300,40,1800,2.00E-05,41,3538,Run_3538,280,180,1200,6.00E-05,9
1106,Run_1106,160,0,1800,2.00E-05,25,1150,Run_1150,160,20,2000,6.00E-05,42,2454,Run_2454,220,180,1000,1.00E-04,8
33,Run_33,100,0,2000,4.00E-05,27,1650,Run_1650,180,120,1800,1.00E-04,48,3137,Run_3137,260,160,1000,8.00E-05,8
16,Run_16,100,0,1400,6.00E-05,21,3237,Run_3237,260,200,2000,4.00E-05,44,2496,Run_2496,220,200,1200,1.00E-04,10
2322,Run_2322,220,100,1400,1.00E-04,22,3555,Run_3555,280,180,1800,4.00E-05,44,3219,Run_3219,260,200,1400,4.00E-05,10
3339,Run_3339,280,40,1800,4.00E-05,26,1944,Run_1944,200,80,2000,1.00E-04,44,2488,Run_2488,220,200,1000,6.00E-05,6
3671,Run_3671,300,20,2000,8.00E-05,28,1753,Run_1753,180,180,1800,1.00E-05,50,3066,Run_3066,260,120,1000,1.00E-04,9
3672,Run_3672,300,20,2000,1.00E-04,28,3722,Run_3722,300,80,1400,2.00E-05,42,3462,Run_3462,280,140,1000,1.00E-04,8
2591,Run_2591,240,20,2000,8.00E-05,24,1605,Run_1605,180,100,1600,4.00E-05,50,3496,Run_3496,280,160,1000,6.00E-05,8
2722,Run_2722,240,120,1600,6.00E-05,25,1241,Run_1241,160,100,1400,8.00E-05,45,3074,Run_3074,260,120,1400,2.00E-05,19
3552,Run_3552,280,180,1600,1.00E-04,24,1167,Run_1167,160,40,1400,4.00E-05,46,3035,Run_3035,260,100,1200,8.00E-05,12
2579,Run_2579,240,20,1600,8.00E-05,22,2047,Run_2047,200,140,2000,1.00E-05,43,1083,Run_1083,160,0,1000,4.00E-05,16
411,Run_411,120,20,1400,4.00E-05,30,1018,Run_1018,140,180,1200,6.00E-05,46,3280,Run_3280,280,20,1000,6.00E-05,16
3781,Run_3781,300,120,1000,1.00E-05,26,1195,Run_1195,160,80,1200,1.00E-05,45,3577,Run_3577,280,200,1400,1.00E-05,15
2643,Run_2643,240,80,1400,4.00E-05,22,1434,Run_1434,160,200,1800,1.00E-04,48,2547,Run_2547,240,0,1800,4.00E-05,18
2764,Run_2764,240,140,1800,6.00E-05,26,805,Run_805,140,40,1400,1.00E-05,46,3113,Run_3113,260,140,1400,8.00E-05,16
1098,Run_1098,160,0,1400,1.00E-04,22,1427,Run_1427,160,200,1600,8.00E-05,46,2450,Run_2450,220,180,1000,2.00E-05,12
2613,Run_2613,240,40,1600,4.00E-05,25,1906,Run_1906,200,40,2000,6.00E-05,48,2939,Run_2939,260,20,1600,8.00E-05,20
1230,Run_1230,160,100,1000,1.00E-04,30,1907,Run_1907,200,40,2000,8.00E-05,46,3421,Run_3421,280,120,1000,1.00E-05,12
2795,Run_2795,240,160,1600,8.00E-05,21,1639,Run_1639,180,120,1600,1.00E-05,50,2932,Run_2932,260,20,1400,6.00E-05,18
3664,Run_3664,300,20,1800,6.00E-05,24,1897,Run_1897,200,40,1800,1.00E-05,46,2548,Run_2548,240,0,1800,6.00E-05,19
3443,Run_3443,280,120,1600,8.00E-05,29,1716,Run_1716,180,160,1600,1.00E-04,44,1089,Run_1089,160,0,1200,4.00E-05,18
2019,Run_2019,200,140,1000,4.00E-05,28,3705,Run_3705,300,40,2000,4.00E-05,46,3891,Run_3891,300,180,1000,4.00E-05,18
2334,Run_2334,220,100,1800,1.00E-04,28,3787,Run_3787,300,120,1200,1.00E-05,43,6,Run_6,100,0,1000,1.00E-04,16
2611,Run_2611,240,40,1600,1.00E-05,26,1672,Run_1672,180,140,1400,6.00E-05,46,2893,Run_2893,260,0,1400,1.00E-05,14
2977,Run_2977,260,40,1800,1.00E-05,26,1708,Run_1708,180,160,1400,6.00E-05,43,2562,Run_2562,240,20,1000,1.00E-04,18
3434,Run_3434,280,120,1400,2.00E-05,25,3937,Run_3937,300,200,1400,1.00E-05,42,2379,Run_2379,220,140,1000,4.00E-05,18
45,Run_45,100,20,1200,4.00E-05,26,1758,Run_1758,180,180,1800,1.00E-04,44,3107,Run_3107,260,140,1200,8.00E-05,12
3087,Run_3087,260,120,1800,4.00E-05,30,1706,Run_1706,180,160,1400,2.00E-05,44,3423,Run_3423,280,120,1000,4.00E-05,12
2054,Run_2054,200,160,1000,2.00E-05,25,938,Run_938,140,140,1000,2.00E-05,42,2886,Run_2886,260,0,1000,1.00E-04,13
3854,Run_3854,300,160,1000,2.00E-05,22,1899,Run_1899,200,40,1800,4.00E-05,44,2890,Run_2890,260,0,1200,6.00E-05,14
1478,Run_1478,180,20,1000,2.00E-05,24,1938,Run_1938,200,80,1800,1.00E-04,41,2536,Run_2536,240,0,1400,6.00E-05,16
2390,Run_2390,220,140,1400,2.00E-05,26,1763,Run_1763,180,180,2000,8.00E-05,48,1812,Run_1812,200,0,1200,1.00E-04,20
2196,Run_2196,220,0,2000,1.00E-04,24,88,Run_88,100,40,1400,6.00E-05,44,7,Run_7,100,0,1200,1.00E-05,16
2021,Run_2021,200,140,1000,8.00E-05,27,1972,Run_1972,200,100,1800,6.00E-05,42,2125,Run_2125,200,200,1000,1.00E-05,13
2693,Run_2693,240,100,1800,8.00E-05,24,1634,Run_1634,180,120,1400,2.00E-05,47,1811,Run_1811,200,0,1200,8.00E-05,19
2988,Run_2988,260,40,2000,1.00E-04,28,1017,Run_1017,140,180,1200,4.00E-05,47,3644,Run_3644,300,20,1200,2.00E-05,18
756,Run_756,140,0,2000,1.00E-04,30,3757,Run_3757,300,100,1400,1.00E-05,48,3466,Run_3466,280,140,1200,6.00E-05,16
