Run,RELEASE_ALT,RELEASE_MASS,RunName,Fatalities,MASS_MEAN_DIAMETER,WIND_DIRECTION,Day
2614,40,1600,Run_2614,25,6.00E-05,240,1
2617,40,1800,Run_2617,28,1.00E-05,240,1
2620,40,1800,Run_2620,27,6.00E-05,240,1
2622,40,1800,Run_2622,26,1.00E-04,240,1
2627,40,2000,Run_2627,29,8.00E-05,240,1
2634,80,1000,Run_2634,10,1.00E-04,240,1
2645,80,1400,Run_2645,19,8.00E-05,240,1
2647,80,1600,Run_2647,25,1.00E-05,240,1
2655,80,1800,Run_2655,28,4.00E-05,240,1
2658,80,1800,Run_2658,24,1.00E-04,240,1
2669,100,1000,Run_2669,11,8.00E-05,240,1
2670,100,1000,Run_2670,10,1.00E-04,240,1
2682,100,1400,Run_2682,16,1.00E-04,240,1
2686,100,1600,Run_2686,24,6.00E-05,240,1
2700,100,2000,Run_2700,24,1.00E-04,240,1
2702,120,1000,Run_2702,14,2.00E-05,240,1
2706,120,1000,Run_2706,10,1.00E-04,240,1
2709,120,1200,Run_2709,19,4.00E-05,240,1
2711,120,1200,Run_2711,16,8.00E-05,240,1
2712,120,1200,Run_2712,15,1.00E-04,240,1
2714,120,1400,Run_2714,23,2.00E-05,240,1
2716,120,1400,Run_2716,21,6.00E-05,240,1
2717,120,1400,Run_2717,20,8.00E-05,240,1
2723,120,1600,Run_2723,23,8.00E-05,240,1
2724,120,1600,Run_2724,22,1.00E-04,240,1
2725,120,1800,Run_2725,28,1.00E-05,240,1
2726,120,1800,Run_2726,28,2.00E-05,240,1
2742,140,1000,Run_2742,9,1.00E-04,240,1
2761,140,1800,Run_2761,28,1.00E-05,240,1
2763,140,1800,Run_2763,28,4.00E-05,240,1
2774,160,1000,Run_2774,10,2.00E-05,240,1
2775,160,1000,Run_2775,9,4.00E-05,240,1
2776,160,1000,Run_2776,8,6.00E-05,240,1
2779,160,1200,Run_2779,14,1.00E-05,240,1
2783,160,1200,Run_2783,13,8.00E-05,240,1
2802,160,1800,Run_2802,23,1.00E-04,240,1
2803,160,2000,Run_2803,30,1.00E-05,240,1
2809,180,1000,Run_2809,7,1.00E-05,240,1
2810,180,1000,Run_2810,8,2.00E-05,240,1
2811,180,1000,Run_2811,8,4.00E-05,240,1
2812,180,1000,Run_2812,8,6.00E-05,240,1
2813,180,1000,Run_2813,5,8.00E-05,240,1
2818,180,1200,Run_2818,11,6.00E-05,240,1
2819,180,1200,Run_2819,10,8.00E-05,240,1
2820,180,1200,Run_2820,10,1.00E-04,240,1
2828,180,1600,Run_2828,21,2.00E-05,240,1
2831,180,1600,Run_2831,18,8.00E-05,240,1
2833,180,1800,Run_2833,25,1.00E-05,240,1
2838,180,1800,Run_2838,21,1.00E-04,240,1
2844,180,2000,Run_2844,24,1.00E-04,240,1
2846,200,1000,Run_2846,4,2.00E-05,240,1
2848,200,1000,Run_2848,4,6.00E-05,240,1
2849,200,1000,Run_2849,4,8.00E-05,240,1
2850,200,1000,Run_2850,3,1.00E-04,240,1
2851,200,1200,Run_2851,8,1.00E-05,240,1
2852,200,1200,Run_2852,8,2.00E-05,240,1
2854,200,1200,Run_2854,8,6.00E-05,240,1
2857,200,1400,Run_2857,14,1.00E-05,240,1
2862,200,1400,Run_2862,10,1.00E-04,240,1
2863,200,1600,Run_2863,18,1.00E-05,240,1
2871,200,1800,Run_2871,20,4.00E-05,240,1
2884,0,1000,Run_2884,12,6.00E-05,260,1
2894,0,1400,Run_2894,14,2.00E-05,260,1
2901,0,1600,Run_2901,16,4.00E-05,260,1
2904,0,1600,Run_2904,17,1.00E-04,260,1
2912,0,2000,Run_2912,17,2.00E-05,260,1
2919,20,1000,Run_2919,16,4.00E-05,260,1
2921,20,1000,Run_2921,16,8.00E-05,260,1
2924,20,1200,Run_2924,17,2.00E-05,260,1
2935,20,1600,Run_2935,20,1.00E-05,260,1
2939,20,1600,Run_2939,20,8.00E-05,260,1
2940,20,1600,Run_2940,20,1.00E-04,260,1
2943,20,1800,Run_2943,22,4.00E-05,260,1
2953,40,1000,Run_2953,17,1.00E-05,260,1
2955,40,1000,Run_2955,17,4.00E-05,260,1
2959,40,1200,Run_2959,19,1.00E-05,260,1
2961,40,1200,Run_2961,20,4.00E-05,260,1
2965,40,1400,Run_2965,22,1.00E-05,260,1
2972,40,1600,Run_2972,24,2.00E-05,260,1
2973,40,1600,Run_2973,24,4.00E-05,260,1
2976,40,1600,Run_2976,23,1.00E-04,260,1
2982,40,1800,Run_2982,25,1.00E-04,260,1
2984,40,2000,Run_2984,28,2.00E-05,260,1
2986,40,2000,Run_2986,28,6.00E-05,260,1
2988,40,2000,Run_2988,28,1.00E-04,260,1
